[2025-04-07 09:23:23:927] [WARN] Failed to load module opencog/attention/libattention.so
[2025-04-07 09:23:23:927] [WARN] Searched for module at /home/yeab/cogserver/build/opencog/cogserver/modules/agents
[2025-04-07 09:23:23:927] [WARN] Searched for module at /home/yeab/cogserver/build/opencog/cogserver/modules/commands
[2025-04-07 09:23:23:927] [WARN] Searched for module at /home/yeab/cogserver/build/opencog/cogserver/modules/python
[2025-04-07 09:23:23:927] [WARN] Searched for module at /home/yeab/cogserver/build/opencog/cogserver/modules/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /home/yeab/cogserver/build/opencog/cogserver/server/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /home/yeab/cogserver/build/opencog/cogserver/shell/
[2025-04-07 09:23:23:927] [WARN] Searched for module at ./
[2025-04-07 09:23:23:927] [WARN] Searched for module at .//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at .//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../
[2025-04-07 09:23:23:927] [WARN] Searched for module at ..//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at ..//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../../
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../..//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../..//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../../../
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../../..//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../../..//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../../../../
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../../../..//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at ../../../..//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at "/usr/local"/lib
[2025-04-07 09:23:23:927] [WARN] Searched for module at "/usr/local"/lib/opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at "/usr/local"/lib/opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at "/usr/local"/share
[2025-04-07 09:23:23:927] [WARN] Searched for module at "/usr/local"/share/opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at "/usr/local"/share/opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/share/opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/share/opencog/opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/share/opencog/opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/lib64/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/lib64//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/lib64//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/lib/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/lib//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/lib//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/share/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/share//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/local/share//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/lib64/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/lib64//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/lib64//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/lib/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/lib//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/lib//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/share/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/share//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /usr/share//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /opt/
[2025-04-07 09:23:23:927] [WARN] Searched for module at /opt//opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at /opt//opencog/modules
[2025-04-07 09:23:23:927] [WARN] Searched for module at /
[2025-04-07 09:23:23:927] [WARN] Searched for module at //opencog
[2025-04-07 09:23:23:927] [WARN] Searched for module at //opencog/modules
[2025-04-07 09:23:23:927] [INFO] [ModuleManager::getModuleData] module "opencog::AgentsModule" was not found.
